sezione;col1;col2;col3;col4;col5
61 - Telecomunicazioni;649;285;926;1.860;
62 - Produzione di software, consulenza informatica e attivita' connesse;146;67;53;266;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;88;44;25;157;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);278;84;44;406;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);23;7;-;30;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;2;1;-;3;
68 - Attivita' immobiliari;849;138;94;1.081;
69 - Attivita' legali e contabilita';21;145;9;175;
70 - Attivita' di direzione aziendale e di consulenza gestionale;370;128;88;586;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;5.617;920;1.414;7.951;
72 - Ricerca scientifica e sviluppo;5.930;866;320;7.116;
73 - Pubblicita' e ricerche di mercato;39;7;7;53;
74 - Altre attivita' professionali, scientifiche e tecniche;1.338;421;513;2.272;
75 - Servizi veterinari;574;174;348;1.096;
77 - Attivita' di noleggio e leasing operativo;2.344;1.847;583;4.774;
78 - Attivita' di ricerca, selezione, fornitura di personale;2;-;-;2;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;12;1;1;14;
80 - Servizi di vigilanza e investigazione;53;24;9;86;
81 - Attivita' di servizi per edifici e paesaggio;8.153;8.461;15.685;32.299;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;13.758;340;1.921;16.019;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;4.978;898;7.310;13.186;
85 - Istruzione;1.377;510;593;2.480;
86, 87, 88 - Sanita' e assistenza sociale;91.925;43.434;58.903;194.262;
90 - Attivita' creative, artistiche e di intrattenimento;266;21;14;301;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;31;8;7;46;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;235;336;43;614;
93 - Attivita' sportive, di intrattenimento e di divertimento;316;51;24;391;
94 - Attivita' di organizzazioni associative;252;74;28;354;
95 - Riparazione di computer e di beni per uso personale e per la casa;275;208;92;575;
96 - Altre attivita' di servizi per la persona;7.874;317;572;8.763;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;-;-;-;0;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;18;-;-;18;
99 - Organizzazioni ed organismi extraterritoriali;2;30;98;130;
ND - Attivita' ISTAT non determinata;279;272;362;913;
Totale;7.147.982;1.228.577;1.806.146;10.182.705;
Produzione dei rifiuti speciali pericolosi e non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2023 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;1.975;784;1.189;3.948;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;783.517;297.567;134.578;1.215.662;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;1.590.361;339.743;739.923;2.670.027;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;1.408.568;508.952;130.031;2.047.551;
