	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;         413.601;         126.740;         213.583;         753.924;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);       1.863.436;         511.053;         211.253;       2.585.742;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);         115.392;          32.516;          47.222;         195.130;
49 - Trasporto terrestre e trasporto mediante condotte;         517.744;          80.916;          88.789;         687.449;
50 - Trasporto marittimo e per vie d'acqua;           1.682;             159;             941;           2.782;
51 - Trasporto aereo;             707;             825;           1.097;           2.629;
52 - Magazzinaggio e attivita' di supporto ai trasporti;         172.662;          39.854;          52.504;         265.020;
53 - Servizi postali e attivita' di corriere;             606;           1.631;             422;           2.659;
55 - Alloggio;           6.607;           7.175;          22.382;          36.164;
56 - Attivita' dei servizi di ristorazione;          18.225;           6.118;           9.541;          33.884;
58 - Attivita' editoriali;          10.322;           4.364;           2.332;          17.018;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;              80;             250;             109;             439;
60 - Attivita' di programmazione e trasmissione;           2.049;             531;             213;           2.793;
61 - Telecomunicazioni;           3.184;             697;             593;           4.474;
62 - Produzione di software, consulenza informatica e attivita' connesse;           3.217;             862;             192;           4.271;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;           3.576;             864;             202;           4.642;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);             695;             411;             191;           1.297;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);             184;              86;-;             270;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;              27;              56;               2;              85;
68 - Attivita' immobiliari;           2.417;           2.518;           6.171;          11.106;
69 - Attivita' legali e contabilita';             415;             180;              68;             663;
70 - Attivita' di direzione aziendale e di consulenza gestionale;           1.916;           1.884;             321;           4.121;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;          17.670;           1.610;           4.865;          24.145;
72 - Ricerca scientifica e sviluppo;          10.708;           2.788;             714;          14.210;
73 - Pubblicita' e ricerche di mercato;           2.959;           1.098;             237;           4.294;
74 - Altre attivita' professionali, scientifiche e tecniche;          11.849;           1.084;             423;          13.356;
75 - Servizi veterinari;             138;              64;              98;             300;
77 - Attivita' di noleggio e leasing operativo;          13.823;           5.165;           1.635;          20.623;
78 - Attivita' di ricerca, selezione, fornitura di personale;               5;-;              12;              17;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              52;              36;              36;             124;
80 - Servizi di vigilanza e investigazione;             145;             764;              92;           1.001;
81 - Attivita' di servizi per edifici e paesaggio;          66.858;          30.677;          33.777;         131.312;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          47.325;          15.829;          19.474;          82.628;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;          30.357;          10.350;          13.535;          54.242;
85 - Istruzione;           1.068;           2.074;             427;           3.569;
86, 87, 88 - Sanita' e assistenza sociale;          18.795;           6.537;           7.492;          32.824;
90 - Attivita' creative, artistiche e di intrattenimento;           1.399;             764;           3.315;           5.478;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;             627;             629;             108;           1.364;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             522;             293;              97;             912;
93 - Attivita' sportive, di intrattenimento e di divertimento;           5.039;             551;           2.352;           7.942;
94 - Attivita' di organizzazioni associative;           1.743;             277;             668;           2.688;
95 - Riparazione di computer e di beni per uso personale e per la casa;           3.194;             825;              68;           4.087;
96 - Altre attivita' di servizi per la persona;          12.657;           5.154;           4.897;          22.708;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;              25;-;-;              25;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;             170;               2;               2;             174;
99 - Organizzazioni ed organismi extraterritoriali;               5;             112;             258;             375;
ND - Attivita' ISTAT non determinata;           3.936;             120;           1.040;           5.096;
Totale;      81.676.686;      25.708.975;      36.434.016;     143.819.677

		Produzione dei rifiuti speciali pericolosi per attivita' economica - 2019 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;           6.028;           1.169;           1.594;           8.791;
02 - Silvicoltura ed utilizzo di aree forestali;              30;              66;              13;             109;
03 - Pesca e acquacoltura;             101;             884;              71;           1.056;
05 - Estrazione di carbone (esclusa torba);               2;               3;-;               5;
06 - Estrazione di petrolio greggio e di gas naturale;           2.518;           4.410;          80.124;          87.052;
07 - Estrazione di minerali metalliferi;               1;              22;               2;              25;
08 - Altre attivita' di estrazione di minerali da cave e miniere;             822;             375;             423;           1.620;
09 - Attivita' dei servizi di supporto all'estrazione;           1.691;              15;             976;           2.682;
10, 11 - Industria alimentare e delle bevande;          15.219;           1.770;           1.939;          18.928;
12 - Industria del tabacco;             104;              10;              47;             161;
13 - Industria tessile;          19.615;           4.851;             124;          24.590;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;           1.147;              78;             430;           1.655;
15 - Fabbricazione di articoli in pelle e simili;           4.061;           3.845;             582;           8.488;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;          11.795;           1.870;             654;          14.319;
17 - Fabbricazione di carta e di prodotti in carta;          13.928;           3.122;           3.368;          20.418;
18 - Stampa e riproduzione di supporti registrati;          17.780;           3.130;           1.996;          22.906;
